X,Y,field_1,Latitude,Longitude,layer,path
-3.3928656571395,5.373593155174,46,5.373593155174000,-3.392865657139500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3930666655925,5.373878350466,73,5.373878350466002,-3.393066665592500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3927863962575,5.373880139646,75,5.373880139646000,-3.392786396257500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3927203455225,5.373597449206,19,5.373597449206002,-3.392720345522500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3930002578265,5.373753107866,59,5.373753107866000,-3.393000257826500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3925114823875,5.373706589186,29,5.373706589186002,-3.392511482387500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3924386480635,5.373837557162,30,5.373837557162000,-3.392438648063500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3926492963535,5.373806783266,32,5.373806783266002,-3.392649296353500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3930702359025,5.373636095494,68,5.373636095494002,-3.393070235902500,26,D:\DATA_\Points_D5\26.shp|layername=26
-3.3925039847365,5.37387441427,34,5.373874414270000,-3.392503984736500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3927171322435,5.373676888798,41,5.373676888798000,-3.392717132243500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3927185603675,5.37384399821,42,5.373843998210000,-3.392718560367500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3925803893705,5.373674383946,24,5.373674383946002,-3.392580389370500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3926517955705,5.373629654446,51,5.373629654446002,-3.392651795570500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3924415043115,5.373673668274,53,5.373673668274002,-3.392441504311500,27,D:\DATA_\Points_D5\27.shp|layername=27
-3.3926453690125,5.373875129942,57,5.373875129942000,-3.392645369012500,27,D:\DATA_\Points_D5\27.shp|layername=27
